url	local_path	status	content_type	bytes
https://stadion-maksimir.zagreb.hr/hr/UserDocsImages/OcjenjivackiSud/09_Tomislav Tomasevic.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/hr/UserDocsImages/OcjenjivackiSud/10_Vjera Bakic.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/hr/UserDocsImages/OcjenjivackiSud/11_Iva Hudan.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/hr/UserDocsImages/OcjenjivackiSud/12_Luka Korlaet.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=en&returnUrl=%2Fhr%2Fregistracija%2F124	site/Home/SetLanguage__lang_en_returnUrl__2Fhr_2Fregistracija_2F124.html	200	text/html	127002
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=hr&returnUrl=%2Fhr%2Fregistracija%2F124	site/Home/SetLanguage__lang_hr_returnUrl__2Fhr_2Fregistracija_2F124.html	200	text/html	121662
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=en&returnUrl=%2Fen%2Fdocumentation%2F66	site/Home/SetLanguage__lang_en_returnUrl__2Fen_2Fdocumentation_2F66.html	200	text/html	131610
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=hr&returnUrl=%2Fen%2Fdocumentation%2F66	site/Home/SetLanguage__lang_hr_returnUrl__2Fen_2Fdocumentation_2F66.html	200	text/html	126576
https://stadion-maksimir.zagreb.hr/UserDocsImages/dokumenti/Competition Terms and Conditions_Maksimir Stradium_Svetice SRC.pdf	site/UserDocsImages/dokumenti/Competition Terms and Conditions_Maksimir Stradium_Svetice SRC.pdf	200	application/pdf	1398118
https://stadion-maksimir.zagreb.hr/UserDocsImages/dokumenti/Competition Programme_Maksimir Stadium_Svetice SRC.pdf	site/UserDocsImages/dokumenti/Competition Programme_Maksimir Stadium_Svetice SRC.pdf	200	application/pdf	66836413
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=en&returnUrl=%2Fen%2Fnews%2F34	site/Home/SetLanguage__lang_en_returnUrl__2Fen_2Fnews_2F34.html	200	text/html	127169
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=hr&returnUrl=%2Fen%2Fnews%2F34	site/Home/SetLanguage__lang_hr_returnUrl__2Fen_2Fnews_2F34.html	200	text/html	121972
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=en&returnUrl=%2Fen%2Ftimeline%2F68	site/Home/SetLanguage__lang_en_returnUrl__2Fen_2Ftimeline_2F68.html	200	text/html	126984
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=hr&returnUrl=%2Fen%2Ftimeline%2F68	site/Home/SetLanguage__lang_hr_returnUrl__2Fen_2Ftimeline_2F68.html	200	text/html	121792
https://stadion-maksimir.zagreb.hr/en/Content/js/jquery-3.7.1.min.js		ERROR		0
https://stadion-maksimir.zagreb.hr/en/Content/js/enquire-crossbrowser.min.js		ERROR		0
https://stadion-maksimir.zagreb.hr/en/Content/js/swiper-bundle.min.js		ERROR		0
https://stadion-maksimir.zagreb.hr/en/Content/js/lightgallery.umd.js		ERROR		0
https://stadion-maksimir.zagreb.hr/en/Content/js/lg-thumbnail.umd.js		ERROR		0
